100	500
n003540	151	n002263	209
n003554	133	n008630	277
n003570	43	n009285	143
n003606	60	n007121	384
n003635	81	n001337	108
n003653	252	n001174	228
n003675	365	n008314	40
n003725	25	n005188	307
n003728	141	n005832	184
n003775	321	n004771	77
n003786	42	n004281	79
n003836	335	n002763	456
n003873	350	n005319	23
n003881	92	n002574	307
n003894	79	n000106	168
n003896	173	n008056	114
n003917	5	n004440	231
n003958	100	n003917	110
n004007	152	n006347	74
n004050	294	n008595	18
n004064	180	n002267	356
n004068	60	n005226	345
n004070	6	n004580	307
n004078	35	n000945	36
n004085	201	n004635	136
n004123	263	n008778	89
n004157	212	n000259	372
n004180	266	n007397	265
n004208	137	n005373	234
n004233	72	n002421	94
n004239	116	n001299	68
n004240	148	n006909	167
n004243	157	n005319	94
n004281	38	n006123	205
n004333	138	n002216	100
n004338	270	n004424	506
n004353	288	n000259	17
n004357	128	n004486	205
n004366	308	n006653	114
n004372	120	n000658	237
n004380	48	n001683	47
n004387	122	n005833	144
n004394	128	n002381	89
n004411	21	n002080	51
n004424	160	n001021	170
n004440	139	n005319	30
n004449	267	n005101	319
n004461	249	n005101	233
n004469	51	n002659	176
n004482	111	n002556	26
n004486	192	n005122	85
n004555	221	n005607	195
n004563	270	n002803	11
n004580	217	n007068	264
n004586	172	n007651	1
n004588	26	n008539	27
n004634	391	n001923	82
n004635	48	n000658	130
n004652	186	n009294	184
n004658	153	n008682	191
n004661	111	n005799	245
n004662	4	n005359	46
n004663	127	n002664	38
n004678	80	n003881	83
n004679	205	n005282	135
n004709	25	n002257	4
n004712	77	n004123	52
n004719	232	n003001	322
n004738	121	n007531	187
n004743	469	n002329	119
n004756	92	n005340	302
n004771	86	n000624	123
n004788	195	n004078	91
n004793	73	n004635	53
n004798	11	n003298	59
n004801	130	n007949	86
n004812	2	n001898	5
n004813	269	n008056	136
n004826	355	n003461	409
n004850	55	n000596	335
n004885	336	n001935	80
n004891	217	n005693	197
n004898	140	n002517	98
n004905	308	n001857	213
n004911	158	n006909	347
n004915	128	n000836	90
n004925	186	n004281	203
n004945	180	n000029	43
n004999	110	n004387	62
n005073	297	n004353	370
n005088	27	n000527	63
n005101	377	n008630	113
n005104	205	n000854	7
n005112	400	n002761	221
n005114	195	n001299	114
n005120	335	n005122	143
n005122	207	n001418	424
n005123	85	n003009	105
n005135	382	n008488	171
n005136	275	n002763	382
n005137	133	n007381	31
n005145	102	n005799	300
n005148	73	n001156	46
n005157	169	n005636	237
n005159	348	n008037	449
n005179	142	n007169	106
n005181	130	n000785	425
n005188	201	n004788	205
n005225	180	n000775	200
n005226	341	n004338	319
n005233	213	n001303	291
n005280	77	n005799	295
n005282	189	n005233	38
n005294	49	n004756	151
n005301	64	n008630	260
n005303	446	n008528	103
n005306	138	n008037	449
n005312	485	n002873	129
n005316	91	n007668	85
n005319	46	n001485	359
n005326	27	n004719	309
n005328	52	n002681	113
n005334	385	n002223	68
n005340	476	n000854	53
n005347	288	n001672	10
n005359	88	n001956	403
n005373	155	n006458	202
n005377	71	n002389	359
n005380	243	n002080	14
n005417	26	n003894	185
n005425	155	n002596	11
n005427	196	n008989	168
n005448	106	n003836	363
n005473	260	n000284	264
n005474	66	n003653	523
n005490	113	n005621	57
n005513	2	n008164	303
n005552	18	n004891	274
n005565	128	n005577	278
n005577	357	n006531	455
n005607	76	n008773	339
n005612	33	n008682	176
n005619	134	n008317	164
n005621	230	n000410	29
n005623	165	n001878	543
n005630	265	n008488	245
n005633	163	n008003	221
n005636	307	n004812	361
n005639	270	n008110	89
n005648	408	n009199	341
n005652	202	n005639	12
n005664	194	n005963	181
n005666	185	n003958	150
n005668	76	n008037	405
n005670	274	n003958	20
n005680	277	n002803	112
n005693	167	n009288	244
n005695	74	n005104	371
n005706	263	n005956	213
n005709	132	n004798	93
n005723	187	n004771	134
n005726	189	n007133	183
n005730	44	n002869	305
n005748	6	n009294	212
n005755	185	n002743	273
n005758	528	n002761	117
n005762	124	n008530	248
n005764	275	n008655	125
n005776	152	n001277	220
n005799	7	n005730	271
n005831	154	n004338	58
n005832	114	n003490	245
n005833	51	n005652	287
n005872	27	n000838	193
n005915	234	n001830	158
n005956	127	n005619	86
n005963	250	n009291	127
n005973	288	n004281	29
n006053	331	n005303	20
n006123	121	n008558	176
n006134	235	n005112	346
n006211	143	n008047	63
n006247	107	n007700	211
n006301	366	n005122	2
n006347	20	n007668	119
n006451	38	n001190	519
n006458	30	n009291	9
n006497	23	n001127	184
n006531	39	n005832	76
n006532	21	n001337	71
n006574	286	n008484	198
n006626	110	n002873	108
n006653	106	n003606	55
n006659	329	n002749	72
n006772	163	n006134	345
n006808	79	n008213	154
n006858	34	n007162	115
n006909	224	n000363	167
n006922	62	n005380	25
n006987	17	n001655	78
n006992	52	n002773	48
n007008	4	n004070	58
n007021	167	n001190	271
n007068	119	n004793	428
n007104	215	n006532	107
n007121	291	n002166	101
n007133	234	n005706	274
n007146	288	n005301	121
n007159	12	n006301	99
n007162	132	n000178	167
n007166	36	n004945	90
n007169	85	n005726	422
n007210	104	n007162	196
n007240	162	n005695	33
n007241	125	n003653	192
n007246	27	n007474	78
n007261	42	n003917	213
n007296	21	n004635	81
n007358	138	n004945	216
n007368	390	n005666	30
n007381	88	n002216	257
n007385	109	n005630	58
n007397	178	n007241	177
n007439	190	n001836	348
n007474	315	n006134	204
n007531	394	n005347	54
n007548	305	n000106	239
n007571	129	n002309	214
n007594	21	n001146	31
n007650	159	n008047	112
n007651	108	n004563	212
n007664	15	n005776	350
n007668	113	n002389	360
n007700	76	n009283	258
n007703	12	n008890	439
n007753	314	n004709	260
n007854	293	n003217	620
n007865	99	n002669	256
n007900	245	n004661	243
n007909	264	n005316	227
n007919	148	n005915	88
n007949	129	n005723	14
n007951	40	n001830	386
n008003	117	n002309	141
n008015	93	n007650	111
n008020	3	n005112	97
n008028	13	n007166	72
n008036	76	n000624	179
n008037	183	n004372	117
n008047	93	n005709	184
n008056	334	n000928	179
n008105	158	n002106	157
n008108	216	n002009	47
n008110	207	n002561	35
n008155	115	n001878	117
n008164	194	n004652	464
n008179	174	n007531	51
n008183	115	n006653	76
n008213	89	n000149	347
n008314	67	n005359	197
n008317	148	n004652	303
n008325	116	n004756	421
n008361	153	n009232	339
n008436	269	n006134	23
n008484	44	n007900	93
n008488	318	n003104	32
n008528	147	n006458	69
n008530	253	n002106	300
n008539	149	n005135	256
n008558	152	n002109	245
n008567	16	n002093	84
n008595	300	n005179	398
n008613	142	n001256	422
n008615	86	n005114	104
n008630	90	n001672	257
n008653	180	n007865	68
n008655	92	n000078	46
n008662	37	n005425	14
n008674	163	n008530	159
n008682	3	n007753	430
n008710	265	n004233	57
n008773	299	n001576	181
n008778	71	n005832	220
n008829	258	n002838	125
n008858	150	n004826	15
n008890	160	n003836	348
n008932	238	n007664	28
n008937	36	n008674	96
n008948	74	n005799	15
n008958	158	n005188	164
n008989	92	n002093	448
n009028	188	n004461	204
n009114	165	n002749	221
n009123	396	n003958	108
n009175	66	n005577	307
n009185	153	n008958	106
n009199	154	n004850	439
n009213	108	n006053	198
n009225	74	n007385	138
n009232	130	n001291	384
n009235	418	n000259	320
n009283	220	n003134	87
n009285	28	n006858	174
n009286	121	n003001	10
n009287	182	n002372	162
n009288	89	n003606	290
n009289	197	n008325	216
n009291	85	n005073	83
n009294	112	n002880	384
n000001	46	401
n000009	84	125
n000029	178	368
n000040	108	174
n000078	29	371
n000082	318	239
n000106	103	229
n000129	387	249
n000148	149	15
n000149	473	6
n000178	152	132
n000259	106	112
n000284	328	151
n000363	145	137
n000394	240	102
n000410	159	5
n000452	377	10
n000480	28	106
n000527	185	10
n000596	25	3
n000624	224	86
n000654	177	74
n000658	310	216
n000659	108	100
n000667	217	223
n000689	263	196
n000706	223	236
n000736	258	248
n000740	42	41
n000746	213	304
n000774	59	159
n000775	153	239
n000785	35	267
n000836	113	18
n000838	36	282
n000854	468	366
n000912	216	140
n000928	124	106
n000945	60	220
n000950	35	235
n000958	409	370
n000998	178	51
n001021	16	153
n001059	50	189
n001125	81	4
n001127	42	157
n001146	506	208
n001153	9	186
n001156	270	87
n001174	140	78
n001190	1	438
n001197	98	108
n001199	21	319
n001211	29	355
n001242	204	433
n001256	423	333
n001277	157	54
n001291	113	472
n001293	6	110
n001296	174	39
n001299	198	125
n001302	25	65
n001303	7	274
n001304	4	45
n001337	176	177
n001341	239	125
n001368	558	194
n001401	57	45
n001418	123	170
n001439	382	54
n001446	177	117
n001467	59	152
n001485	253	252
n001576	185	84
n001650	18	67
n001655	70	319
n001672	108	151
n001683	96	77
n001687	309	292
n001708	72	342
n001710	129	29
n001781	28	53
n001811	15	50
n001816	188	145
n001817	142	253
n001830	125	426
n001836	304	228
n001838	193	123
n001850	12	21
n001857	28	267
n001878	138	102
n001898	44	128
n001923	2	64
n001934	67	140
n001935	235	65
n001956	175	203
n001976	300	157
n002009	52	128
n002024	378	120
n002080	141	228
n002081	132	229
n002082	30	268
n002093	353	72
n002106	72	209
n002109	106	157
n002153	149	4
n002158	18	115
n002166	111	4
n002167	29	226
n002216	308	301
n002223	64	209
n002245	89	85
n002257	1	55
n002258	166	182
n002263	366	312
n002267	225	28
n002268	236	152
n002282	36	137
n002284	24	72
n002309	153	201
n002329	196	237
n002351	110	84
n002372	204	158
n002381	128	10
n002384	174	4
n002389	220	293
n002414	161	181
n002421	179	258
n002474	322	223
n002475	77	193
n002503	358	11
n002517	357	15
n002556	12	9
n002561	120	446
n002574	241	291
n002581	429	387
n002596	22	113
n002604	170	90
n002647	203	269
n002659	64	159
n002664	426	20
n002669	158	91
n002681	181	63
n002684	540	116
n002703	250	178
n002715	139	309
n002743	44	262
n002749	124	240
n002761	80	199
n002763	165	124
n002770	167	294
n002773	67	112
n002775	76	41
n002803	137	357
n002838	154	65
n002840	131	107
n002855	277	80
n002857	376	111
n002869	62	73
n002873	200	57
n002878	388	352
n002880	72	227
n002884	136	121
n002889	404	411
n002891	229	37
n002894	19	109
n003001	378	4
n003009	28	120
n003079	239	152
n003092	345	22
n003093	239	190
n003104	115	290
n003115	78	202
n003134	17	63
n003140	121	38
n003205	342	28
n003215	145	169
n003217	304	391
n003258	51	269
n003277	103	106
n003288	204	29
n003298	451	233
n003356	12	14
n003379	77	142
n003415	73	68
n003430	93	32
n003436	135	47
n003461	485	26
n003468	142	165
n003490	47	323
n003513	194	366
n003540	431	343
n003554	118	110
n003570	14	1
n003606	274	134
n003635	71	53
n003653	106	158
n003675	16	418
n003725	50	61
n003728	167	326
n003775	328	217
n003786	185	51
n003836	103	451
n003873	64	296
n003881	125	145
n003894	28	118
n003896	399	270
n003917	172	29
n003958	121	16
n004007	233	137
n004050	510	183
n004064	329	149
n004068	62	119
n004070	4	22
n004078	28	136
n004085	61	183
n004123	228	294
n004157	55	143
n004180	140	243
n004208	246	18
n004233	33	226
n004239	8	71
n004240	258	114
n004243	179	114
n004281	246	2
n004333	46	231
n004338	215	409
n004353	7	265
n004357	48	82
n004366	142	140
n004372	26	35
n004380	40	54
n004387	101	8
n004394	160	61
n004411	217	181
n004424	419	213
n004440	98	91
n004449	219	244
n004461	42	237
n004469	122	88
n004482	49	244
n004486	204	153
n004555	232	172
n004563	649	191
n004580	16	132
n004586	423	230
n004588	35	69
n004634	47	72
n004635	17	202
n004652	192	80
n004658	134	160
n004661	89	453
n004662	172	243
n004663	206	1
n004678	202	199
n004679	34	353
n004709	542	36
n004712	99	304
n004719	91	5
n004738	78	94
n004743	394	411
n004756	404	289
n004771	162	190
n004788	131	80
n004793	331	384
n004798	171	83
n004801	234	46
n004812	214	211
n004813	271	222
n004826	503	326
n004850	284	231
n004885	340	357
n004891	297	163
n004898	156	178
n004905	72	59
n004911	367	302
n004915	97	311
n004925	182	142
n004945	289	316
n004999	54	71
n005073	77	137
n005088	161	13
n005101	89	201
n005104	363	200
n005112	56	103
n005114	21	219
n005120	332	209
n005122	29	153
n005123	327	119
n005135	274	376
n005136	27	330
n005137	34	91
n005145	14	135
n005148	231	176
n005157	98	206
n005159	19	283
n005179	255	276
n005181	192	30
n005188	53	104
n005225	220	241
n005226	31	402
n005233	194	1
n005280	115	169
n005282	122	217
n005294	268	186
n005301	116	255
n005303	274	282
n005306	45	142
n005312	494	4
n005316	412	440
n005319	79	261
n005326	49	8
n005328	153	164
n005334	548	220
n005340	100	75
n005347	18	65
n005359	93	50
n005373	205	102
n005377	149	269
n005380	2	125
n005417	162	185
n005425	81	57
n005427	15	106
n005448	120	168
n005473	93	396
n005474	73	115
n005490	171	176
n005513	61	10
n005552	166	120
n005565	238	189
n005577	77	80
n005607	214	210
n005612	359	311
n005619	254	225
n005621	81	21
n005623	221	213
n005630	182	111
n005633	98	207
n005636	142	110
n005639	125	277
n005648	238	169
n005652	146	78
n005664	129	168
n005666	55	171
n005668	105	52
n005670	342	350
n005680	256	216
n005693	301	242
n005695	146	185
n005706	252	1
n005709	69	228
n005723	96	431
n005726	376	405
n005730	205	129
n005748	1	194
n005755	89	164
n005758	499	191
n005762	65	194
n005764	284	239
n005776	80	208
n005799	177	279
n005831	33	373
n005832	282	266
n005833	183	188
n005872	51	14
n005915	199	74
n005956	41	21
n005963	97	198
n005973	362	239
n006053	36	366
n006123	21	378
n006134	14	90
n006211	223	219
n006247	121	85
n006301	53	460
n006347	240	132
n006451	205	168
n006458	81	17
n006497	213	203
n006531	8	506
n006532	44	11
n006574	420	462
n006626	211	368
n006653	40	83
n006659	76	130
n006772	121	486
n006808	223	292
n006858	76	97
n006909	220	195
n006922	111	271
n006987	38	69
n006992	14	75
n007008	110	131
n007021	52	38
n007068	230	168
n007104	84	273
n007121	119	282
n007133	97	70
n007146	51	349
n007159	236	68
n007162	139	195
n007166	55	53
n007169	63	67
n007210	10	189
n007240	240	169
n007241	120	47
n007246	229	150
n007261	123	328
n007296	62	58
n007358	120	59
n007368	415	394
n007381	86	67
n007385	144	284
n007397	340	52
n007439	47	188
n007474	380	249
n007531	143	324
n007548	186	184
n007571	42	62
n007594	49	145
n007650	27	70
n007651	67	222
n007664	26	85
n007668	16	73
n007700	98	277
n007703	51	32
n007753	460	432
n007854	21	163
n007865	161	183
n007900	5	372
n007909	421	406
n007919	368	250
n007949	242	39
n007951	85	160
n008003	97	143
n008015	123	58
n008020	224	83
n008028	113	290
n008036	146	133
n008037	34	242
n008047	17	146
n008056	101	66
n008105	223	134
n008108	84	91
n008110	165	166
n008155	89	73
n008164	80	20
n008179	66	142
n008183	67	460
n008213	49	117
n008314	22	311
n008317	110	88
n008325	183	286
n008361	241	391
n008436	81	132
n008484	162	190
n008488	14	115
n008528	156	156
n008530	446	172
n008539	175	106
n008558	324	197
n008567	122	81
n008595	234	271
n008613	183	10
n008615	80	89
n008630	176	94
n008653	83	160
n008655	294	218
n008662	157	141
n008674	130	101
n008682	272	154
n008710	162	464
n008773	392	80
n008778	142	103
n008829	239	41
n008858	8	361
n008890	3	216
n008932	256	34
n008937	153	267
n008948	197	158
n008958	390	170
n008989	339	449
n009028	147	411
n009114	142	13
n009123	372	16
n009175	76	64
n009185	21	4
n009199	206	345
n009213	205	315
n009225	325	141
n009232	84	49
n009235	147	129
n009283	166	26
n009285	107	1
n009286	232	2
n009287	27	166
n009288	25	163
n009289	107	150
n009291	109	17
n009294	62	200
n000001	15	n001059	147
n000009	73	n002684	292
n000029	408	n007368	317
n000040	70	n005762	126
n000078	368	n009185	217
n000082	45	n008662	154
n000106	77	n008110	191
n000129	342	n006053	61
n000148	346	n001576	152
n000149	306	n007909	380
n000178	185	n007700	66
n000259	221	n004357	33
n000284	238	n007900	217
n000363	387	n004357	199
n000394	157	n007531	351
n000410	89	n007121	409
n000452	57	n000912	329
n000480	200	n003775	358
n000527	50	n007162	245
n000596	54	n002268	42
n000624	185	n000667	413
n000654	50	n003675	126
n000658	418	n009123	291
n000659	158	n006451	142
n000667	321	n008595	23
n000689	145	n005137	16
n000706	13	n005377	208
n000736	201	n008183	55
n000740	93	n004180	77
n000746	47	n003205	392
n000774	174	n001021	31
n000775	99	n004801	134
n000785	45	n000945	216
n000836	97	n003001	354
n000838	64	n007021	82
n000854	146	n005294	68
n000912	152	n003115	157
n000928	103	n003277	203
n000945	149	n000854	245
n000950	35	n004449	83
n000958	217	n004123	195
n000998	187	n008958	252
n001021	36	n004424	10
n001059	120	n007133	76
n001125	143	n005799	297
n001127	22	n003917	79
n001146	391	n005577	314
n001153	13	n003079	35
n001156	112	n006626	119
n001174	174	n005120	129
n001190	305	n004925	161
n001197	152	n001683	79
n001199	359	n006909	132
n001211	239	n005188	95
n001242	554	n003490	28
n001256	320	n002106	151
n001277	112	n005664	193
n001291	208	n001956	236
n001293	6	n001021	72
n001296	198	n008615	144
n001299	12	n003115	193
n001302	231	n006626	198
n001303	55	n006301	99
n001304	252	n004771	7
n001337	142	n007146	355
n001341	15	n007068	250
n001368	368	n004905	148
n001401	43	n009114	1
n001418	119	n002282	206
n001439	97	n005619	160
n001446	77	n004663	99
n001467	102	n005963	239
n001485	291	n000928	254
n001576	125	n003881	233
n001650	51	n004678	97
n001655	74	n004068	23
n001672	132	n003277	8
n001683	162	n003140	198
n001687	246	n001467	214
n001708	54	n009213	194
n001710	159	n003001	428
n001781	326	n008613	334
n001811	80	n007650	144
n001816	4	n004482	37
n001817	134	n004771	238
n001830	479	n001256	59
n001836	27	n002267	54
n001838	122	n002389	328
n001850	48	n001174	86
n001857	34	n004885	154
n001878	261	n002889	23
n001898	14	n005513	185
n001923	92	n006458	69
n001934	69	n002803	83
n001935	240	n001850	65
n001956	119	n001153	52
n001976	418	n001650	82
n002009	68	n001368	516
n002024	92	n000624	31
n002080	225	n009225	284
n002081	73	n006531	266
n002082	176	n004387	8
n002093	312	n002166	158
n002106	6	n006659	292
n002109	246	n009213	97
n002153	13	n005148	62
n002158	256	n002574	47
n002166	51	n002080	219
n002167	124	n008028	3
n002216	2	n008164	306
n002223	142	n008183	449
n002245	144	n005755	128
n002257	175	n002561	66
n002258	142	n007104	7
n002263	288	n004743	289
n002267	99	n004469	101
n002268	42	n001446	2
n002282	61	n002891	132
n002284	147	n004078	118
n002309	126	n005448	41
n002329	243	n006992	114
n002351	12	n004064	202
n002372	155	n007753	330
n002381	120	n002109	244
n002384	76	n002267	399
n002389	191	n007166	186
n002414	40	n001467	133
n002421	106	n003917	158
n002474	319	n005664	148
n002475	21	n002878	106
n002503	192	n004555	213
n002517	281	n002775	57
n002556	174	n008484	58
n002561	486	n002855	84
n002574	435	n002258	180
n002581	256	n007909	28
n002596	87	n006987	93
n002604	59	n007668	106
n002647	14	n007166	178
n002659	221	n002664	334
n002664	489	n002775	18
n002669	323	n005136	57
n002681	64	n002245	135
n002684	127	n002878	398
n002703	225	n004658	7
n002715	150	n006574	18
n002743	184	n001708	145
n002749	231	n007919	443
n002761	174	n002351	35
n002763	461	n005706	227
n002770	101	n000945	341
n002773	27	n003653	417
n002775	24	n005226	27
n002803	83	n005122	52
n002838	134	n008858	89
n002840	123	n005319	215
n002855	119	n001708	155
n002857	230	n000394	21
n002869	188	n004239	53
n002873	292	n006626	116
n002878	187	n008108	96
n002880	56	n008488	260
n002884	12	n000410	27
n002889	102	n005513	163
n002891	94	n003881	123
n002894	103	n005639	157
n003001	111	n006922	279
n003009	8	n000029	349
n003079	125	n005956	319
n003092	246	n005280	183
n003093	129	n007169	48
n003104	252	n007162	151
n003115	210	n005104	325
n003134	111	n002158	22
n003140	435	n005294	61
n003205	300	n000480	78
n003215	163	n002838	160
n003217	97	n001781	413
n003258	8	n002894	352
n003277	53	n000689	250
n003288	260	n006992	4
n003298	66	n008325	268
n003356	104	n001485	161
n003379	36	n002517	316
n003415	215	n003873	284
n003430	290	n005623	237
n003436	117	n005280	164
n003461	337	n004662	213
n003468	176	n003205	82
n003490	108	n001878	496
n003513	262	n004925	220
n003540	153	n006123	307
n003554	285	n003277	126
n003570	73	n006134	357
n003606	266	n000527	265
n003635	219	n001242	254
n003653	371	n003725	98
n003675	72	n004663	39
n003725	13	n001368	551
n003728	35	n008567	97
n003775	414	n004233	107
n003786	139	n002681	172
n003836	63	n001710	185
n003873	156	n001296	199
n003881	200	n000654	164
n003894	54	n004905	103
n003896	256	n005159	251
n003917	175	n005612	116
n003958	150	n008108	142
n004007	55	n006992	53
n004050	427	n005088	194
n004064	29	n008036	213
n004068	7	n006211	58
n004070	99	n008488	319
n004078	18	n004123	137
n004085	44	n000148	125
n004123	231	n006532	112
n004157	149	n001401	73
n004180	259	n007381	149
n004208	135	n004482	124
n004233	240	n008037	18
n004239	160	n004634	369
n004240	124	n002561	371
n004243	137	n003786	203
n004281	4	n007166	207
n004333	4	n005630	191
n004338	396	n001277	207
n004353	303	n001850	67
n004357	100	n004240	23
n004366	202	n005633	81
n004372	206	n002093	422
n004380	41	n004738	364
n004387	21	n007358	12
n004394	115	n001836	362
n004411	99	n000082	243
n004424	388	n004661	193
n004440	151	n004813	343
n004449	253	n004999	265
n004461	228	n008530	95
n004469	87	n005326	45
n004482	29	n000149	232
n004486	94	n007668	106
n004555	180	n004588	111
n004563	412	n003009	67
n004580	15	n004387	213
n004586	375	n004658	331
n004588	15	n006653	42
n004634	280	n003490	45
n004635	171	n005612	95
n004652	360	n004380	102
n004658	174	n004281	153
n004661	133	n002596	34
n004662	78	n004915	93
n004663	81	n009199	312
n004678	207	n000958	96
n004679	347	n001816	93
n004709	62	n004743	517
n004712	77	n002093	106
n004719	179	n005120	151
n004738	450	n003917	154
n004743	233	n005474	38
n004756	336	n004586	47
n004771	363	n009286	233
n004788	84	n005137	167
n004793	18	n004586	125
n004798	95	n005762	213
n004801	145	n000736	41
n004812	326	n001923	105
n004813	365	n000912	323
n004826	407	n006987	76
n004850	257	n003217	496
n004885	296	n008932	106
n004891	86	n007368	205
n004898	223	n002389	250
n004905	290	n008615	266
n004911	285	n008179	286
n004915	269	n000527	235
n004925	193	n002389	268
n004945	314	n001341	92
n004999	204	n007068	19
n005073	27	n008932	199
n005088	112	n001976	208
n005101	417	n006301	365
n005104	201	n004580	233
n005112	324	n003606	191
n005114	218	n005706	133
n005120	66	n001976	428
n005122	314	n006653	90
n005123	59	n001296	146
n005135	259	n005623	219
n005136	212	n005709	85
n005137	121	n003461	251
n005145	78	n002245	97
n005148	218	n007068	63
n005157	43	n008613	221
n005159	250	n005630	161
n005179	320	n002223	178
n005181	255	n004366	377
n005188	211	n004050	376
n005225	23	n002664	402
n005226	297	n000009	3
n005233	113	n003415	158
n005280	82	n001303	94
n005282	209	n009199	42
n005294	81	n009288	225
n005301	113	n005723	259
n005303	271	n006301	450
n005306	103	n003415	207
n005312	261	n001838	23
n005316	376	n008858	47
n005319	357	n004925	196
n005326	27	n008932	121
n005328	184	n005137	17
n005334	421	n005137	19
n005340	476	n000148	282
n005347	254	n008317	104
n005359	63	n004380	63
n005373	271	n005380	123
n005377	25	n003288	193
n005380	221	n008528	128
n005417	10	n007133	342
n005425	169	n005114	88
n005427	207	n001878	302
n005448	6	n007664	82
n005473	460	n005448	60
n005474	217	n004123	122
n005490	455	n008314	188
n005513	36	n002267	23
n005552	136	n004635	129
n005565	236	n004678	209
n005577	87	n001836	25
n005607	291	n005473	98
n005612	230	n001976	274
n005619	306	n008890	231
n005621	26	n003436	158
n005623	92	n008314	9
n005630	150	n007703	12
n005633	144	n002773	113
n005636	270	n008662	20
n005639	248	n002258	204
n005648	193	n008108	171
n005652	194	n002329	95
n005664	21	n005280	66
n005666	148	n002770	168
n005668	29	n003215	56
n005670	18	n004813	419
n005680	322	n005776	447
n005693	324	n007397	262
n005695	43	n005179	461
n005706	170	n005340	367
n005709	329	n007166	57
n005723	77	n002761	259
n005726	320	n000259	394
n005730	243	n005612	376
n005748	10	n004661	456
n005755	2	n008484	223
n005758	146	n004634	462
n005762	214	n002166	144
n005764	242	n005648	312
n005776	415	n008829	162
n005799	87	n001683	285
n005831	54	n003356	208
n005832	39	n006053	226
n005833	223	n008630	24
n005872	88	n002581	151
n005915	210	n002109	177
n005956	388	n006347	229
n005963	156	n001153	161
n005973	135	n004469	135
n006053	231	n001830	55
n006123	168	n003134	180
n006134	275	n001935	156
n006211	92	n001672	175
n006247	171	n002263	300
n006301	458	n001817	147
n006347	255	n004424	453
n006451	62	n007650	196
n006458	33	n001021	138
n006497	250	n007246	260
n006531	82	n005319	91
n006532	43	n005425	210
n006574	386	n007700	138
n006626	172	n005973	165
n006653	113	n005748	100
n006659	278	n005474	156
n006772	239	n002093	172
n006808	166	n004007	281
n006858	142	n005294	161
n006909	60	n001256	163
n006922	206	n006909	231
n006987	24	n001878	144
n006992	23	n001811	195
n007008	267	n004652	326
n007021	93	n005612	50
n007068	61	n001368	328
n007104	210	n005104	295
n007121	122	n001817	12
n007133	41	n004050	167
n007146	33	n008155	174
n007159	80	n004771	251
n007162	112	n001467	153
n007166	21	n004652	17
n007169	21	n001935	115
n007210	202	n001296	42
n007240	160	n002267	264
n007241	29	n004905	221
n007246	357	n004662	79
n007261	16	n001293	182
n007296	55	n009028	238
n007358	24	n003298	242
n007368	185	n009286	164
n007381	148	n005832	195
n007385	163	n005513	86
n007397	254	n005136	212
n007439	127	n005233	84
n007474	366	n008105	187
n007531	220	n001898	66
n007548	223	n005565	18
n007571	152	n007261	295
n007594	140	n003298	108
n007650	49	n005762	131
n007651	154	n006497	67
n007664	1	n004380	125
n007668	100	n008015	90
n007700	161	n005226	110
n007703	214	n002284	94
n007753	40	n002838	210
n007854	251	n005377	163
n007865	50	n004482	174
n007900	103	n005359	44
n007909	233	n004243	86
n007919	523	n002763	428
n007949	127	n001296	32
n007951	97	n002389	26
n008003	44	n007664	143
n008015	108	n002384	77
n008020	235	n005188	128
n008028	147	n000659	169
n008036	55	n002763	1
n008037	239	n002703	248
n008047	84	n000106	257
n008056	4	n000838	130
n008105	40	n004793	452
n008108	148	n002855	136
n008110	62	n005666	82
n008155	199	n001485	114
n008164	298	n006653	106
n008179	278	n000009	6
n008183	149	n008155	158
n008213	124	n005316	187
n008314	279	n004679	90
n008317	115	n007854	222
n008325	248	n003134	139
n008361	563	n008317	206
n008436	262	n008613	286
n008484	194	n008488	8
n008488	110	n003009	182
n008528	75	n005762	222
n008530	212	n004738	215
n008539	193	n009287	51
n008558	62	n004898	123
n008567	84	n001304	102
n008595	140	n008858	324
n008613	156	n005312	365
n008615	23	n002384	50
n008630	272	n000658	192
n008653	152	n002258	210
n008655	280	n003570	221
n008662	99	n003786	230
n008674	101	n007246	270
n008682	424	n005963	253
n008710	272	n004440	68
n008773	194	n000624	182
n008778	225	n000363	383
n008829	1	n007296	106
n008858	118	n002080	112
n008890	130	n003728	225
n008932	35	n002109	202
n008937	130	n007162	282
n008948	155	n001199	397
n008958	254	n000363	485
n008989	72	n005973	67
n009028	113	n005280	83
n009114	166	n008674	109
n009123	255	n004357	28
n009175	63	n005417	108
n009185	304	n000689	367
n009199	351	n000746	288
n009213	71	n008558	321
n009225	179	n007210	42
n009232	29	n007008	307
n009235	342	n008436	422
n009283	243	n008110	30
n009285	27	n001710	81
n009286	265	n005347	328
n009287	62	n008530	356
n009288	12	n004678	109
n009289	137	n007865	157
n009291	32	n006922	146
n009294	87	n002703	160
n000001	94	262
n000009	76	114
n000029	440	310
n000040	131	113
n000078	404	57
n000082	83	261
n000106	239	5
n000129	228	436
n000148	250	194
n000149	262	333
n000178	95	113
n000259	376	53
n000284	123	133
n000363	366	123
n000394	224	154
n000410	15	75
n000452	328	9
n000480	51	273
n000527	280	128
n000596	241	205
n000624	111	197
n000654	10	99
n000658	308	18
n000659	150	71
n000667	453	132
n000689	170	192
n000706	98	261
n000736	61	347
n000740	128	22
n000746	319	23
n000774	231	249
n000775	67	195
n000785	186	235
n000836	104	65
n000838	253	56
n000854	13	160
